Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Lane Thomas","- - -",528,-2.020325874660326,,0.5894718275544393,-3.7017731576595665,,-3.9317279710506736,2.334282902308873,2.4994330088297527,1.5340240478515625,,2.9099551954387146,,-1.3020015716552735,"Lane Thomas",16939,657041
"Mike Ford","CIN",62,-1.5166876522111303,,0.2973567417689732,-7.245748043060303,,2.9430105590820315,2.6310292369914503,3.014969825744629,3.056135030893179,,-8.535497029622396,,-1.5042136510213215,"Mike Ford",15585,645801
"Nolan Arenado","STL",635,-2.077398003472222,,0.9873165246212121,-3.223344001217165,-4.507788181304932,-5.59679003053357,2.909791006339144,2.106336030505952,1.7399755365708296,,0.05113027746027166,,-1.6879041989644368,"Nolan Arenado",9777,571448
"Jake Fraley","CIN",382,-3.760364621184593,,0.4460066477457682,-5.745829671223959,,-3.410857460715554,1.8075948347125137,3.794137194265727,3.649312902379919,,-8.220156126384493,,-1.7062459673200334,"Jake Fraley",19260,641584
"Angel Martínez","CLE",169,-2.55174729804031,,-0.28954207512640184,-6.689415973165761,,-0.05916131440029349,2.236474806262601,1.119837154041637,5.6530708312988285,,-2.5233551336794484,,-1.724231447492327,"Angel Martinez",26540,682657
"Leo Jiménez","TOR",210,-0.3527022967320431,,0.6386373693292792,-5.874410841200087,,-4.298149108886719,2.388502571451005,0.7577264785766602,4.477089881896973,-0.819018284479777,4.882141525680955,,-1.8167331218719482,"Leo Jimenez",23782,677870
"Elly De La Cruz","CIN",696,-2.041455267801401,,0.5142733741352576,-4.572134139689993,-3.6333587169647217,-2.0452569325764975,1.3188562202028815,2.1317448368778935,1.8138608624858241,2.8488283157348633,-1.576269442147582,,-1.8418308258056642,"Elly De La Cruz",26668,682829
"Michael Harris II","ATL",470,-1.9246490379753236,,0.708764701054014,-7.20547806589227,,-0.7064526290574333,0.6612957916806675,3.1491556475239415,4.131334491804535,-0.8552263577779134,-5.302424412147672,-4.939642906188965,-1.842951774597168,"Michael Harris II",25931,671739
"Ezequiel Tovar","COL",695,-1.2779011248376375,,0.37178886145876167,-1.7698409340598367,,-3.248172564647911,1.9328850640190973,0.4415381631733459,2.69242170380383,,1.6348440069901315,,-1.8846678052629744,"Ezequiel Tovar",24064,678662
"Edouard Julien","MIN",301,-3.6037095405100477,,0.7420782413122788,-7.607938736204117,,-6.325177812909747,2.777908436573335,4.452564613491881,3.4934766902480017,,-8.516640444155092,,-1.9224649667739868,"Edouard Julien",27534,666397
"Jung Hoo Lee","SFG",158,-2.496119658152262,,0.8591406449027683,-3.9722445805867515,,0.35620359195175993,1.4179177460847077,1.4582298680355674,4.388849258422852,,-5.186232837278451,,-1.9417730967203777,"Jung Hoo Lee",33824,808982
"Kyle McCann","OAK",157,-4.998903111049107,,0.8543193583585778,-5.557457317005504,,-7.506285761443662,2.7341857183547247,4.894125802176339,4.118486785888672,-1.947685956954956,-9.663901930588942,,-1.9546327590942383,"Kyle McCann",25575,668832
"Jordan Walker","STL",178,-1.0132938694309543,,-0.37417613135443795,-4.45746084359976,,-5.374871826171875,1.8312008916115274,1.316658453507857,0.8010764122009277,,3.017719384395715,,-1.9572489261627197,"Jordan Walker",27475,691023
