Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Valente Bellozo","MIA",68.2,72.30420537897311,,96.08700361010831,,124.43150442477877,88.15328467153284,83.65822784810126,,,87.26604395604397,98.28335164835164,87.55710622710626,"Valente Bellozo",23899,678368
"Michael Soroka","CHW",79.2,95.81871794871795,93.36216906318081,,,97.22049335863379,,92.09514285714285,,,95.43009902875673,91.49063672848905,87.54833347767577,"Michael Soroka",18383,647336
"Jordan Montgomery","ARI",117,79.22646706586828,90.16591596638658,,,112.62352941176471,105.55426644182124,90.21029490616618,,,93.39726610774933,92.99529697759671,87.4466305648129,"Jordan Montgomery",16511,656756
"Hayden Birdsong","SFG",72,79.86575121163166,,,,107.05145098039213,114.76517374517374,114.33450980392158,,,97.78540579710146,88.6525652173913,87.4273043478261,"Hayden Birdsong",31635,806185
"Roddery Muñoz","MIA",82.2,99.6119799498747,100.68106194690264,95.22685714285716,,106.74965986394558,,77.24260869565218,,,98.2677967881569,88.36809944593828,87.37646905356699,"Roddery Munoz",25311,682610
"Jake Bird","COL",40,90.50800000000001,87.71979729729729,98.62318181818183,,117.05803108808288,124.77000000000004,82.2,,,103.68308868501528,87.99562691131496,87.21498470948015,"Jake Bird",21267,656234
"Carlos Carrasco","CLE",103.2,80.14613636363636,87.145,,,93.82736020806243,100.50403508771929,85.29033419023135,,,86.3059678379988,97.61468731387735,87.16304943418699,"Carlos Carrasco",6632,471911
"James Paxton","- - -",100.1,82.1836344314559,91.29082352941177,109.21811320754716,,,,111.49232142857144,93.37326885880077,,88.7886290693916,98.30926816512984,86.92903433139392,"James Paxton",11828,572020
"Tayler Saucedo","SEA",38.2,81.19250000000002,106.12647887323944,,,107.76740331491713,106.86941176470589,75.94367346938773,,,98.67098228663444,87.30818035426735,86.9002898550725,"Tayler Saucedo",17888,642048
"Chad Kuhl","CHW",53.1,105.51640449438203,91.48026431718061,83.88637362637364,,115.54646691027204,,85.18854838709676,,,96.99997361925334,87.1726520915061,86.7156552430908,"Chad Kuhl",14975,641771
"Taijuan Walker","PHI",83.2,87.97732256693583,85.87819848154595,87.23471216097987,85.12978703748725,105.14147359913792,88.97524098671727,,,,89.87761730202254,93.4134857637672,86.70952988474943,"Taijuan Walker",11836,592836
"Shawn Dubin","HOU",45.1,90.4267571010501,,97.97128211833933,,110.20686733556298,99.50357030636295,98.00013046116504,,,96.13046094168004,86.15156895398609,86.67650120385231,"Shawn Dubin",24977,681869
"Pedro Avila","- - -",82.2,85.6828057553957,88.39760048080534,,,89.15773213660009,82.04350877192984,97.07057692307693,,,88.3328950902798,96.52357116712876,86.63910370017564,"Pedro Avila",18864,658648
"Tommy Henry","ARI",38.1,79.95085427135679,86.30879999999999,,,108.70217391304347,90.50817073170732,81.96563106796117,,,85.78279334984617,100.3952761548013,86.22641963686392,"Tommy Henry",26285,674072
"Chris Flexen","CHW",160,73.05092664092665,80.24,87.50879781420764,,91.58344262295081,76.50467836257309,101.75136363636365,,,83.42643735290436,100.59502481844038,86.10988872828251,"Chris Flexen",13896,623167
"Scott McGough","ARI",32.2,86.49251908396947,84.83636363636363,,94.34231213872833,100.89289473684211,,,,,90.47773748123002,93.40937030750146,86.0710646993537,"Scott McGough",12056,543518
"Dane Dunning","TEX",95,86.44625,89.02808176100629,81.64748427672956,,87.32237373737375,,75.07829383886256,89.53265822784809,96.28,85.45092406201344,98.50902775036731,86.06663695370919,"Dane Dunning",19409,641540
"Bryce Jarvis","ARI",59.1,84.41291066282422,102.82453333333335,101.84203124999999,,111.6110924369748,106.63,97.13299270072994,,,97.69453093812379,88.85890219560885,86.0429740518962,"Bryce Jarvis",27477,686826
"Cal Quantrill","COL",148.1,,77.438640776699,92.50105571847509,84.79094763092272,,103.63531914893613,73.82565217391304,,,85.08553979511427,96.58388494877853,85.77717100078799,"Cal Quantrill",19312,615698
"Tommy Kahnle","NYY",42.2,88.65289855072463,83.88000000000002,,,94.5328205128205,,91.34198852772467,,,90.95977415307405,90.29528230865743,85.45661229611044,"Tommy Kahnle",11384,592454
"Drew Thorpe","CHW",44.1,71.29396551724139,,88.83139999999997,,97.98628099173555,,91.9621875,,,84.40856745479833,96.76297635605005,85.21574408901253,"Drew Thorpe",31967,689672
"Peter Lambert","COL",61.1,82.42435000000002,99.375,94.492,,94.28246153846153,105.57552666666665,101.32792307692307,,,93.17024695035,90.13202659784898,84.9096640425263,"Peter Lambert",17969,663567
"Bradley Blalock","- - -",30.2,78.18986547085201,,91.22444444444444,87.99443037974683,97.57916666666667,110.7651851851852,,,,88.06962609105115,93.22095835067869,84.61174458995582,"Bradley Blalock",26419,687134
"José Buttó","NYM",74,97.9416103896104,85.85565836298933,,,93.82231080139373,,87.67249070631968,,,92.0337876941149,87.74810970849492,83.91365836094734,"Jose Butto",23313,676130
"Ben Lively","CLE",151,75.01724867724867,86.17107604017217,,,97.50534908700325,90.68824644549761,70.43477064220184,,,83.74097375105842,102.50330228619816,83.75283657917018,"Ben Lively",14932,594902
"Logan Allen","CLE",97.1,85.46605459057072,,95.36617283950619,,99.79621794871795,,85.89111842105264,,,89.68216444981866,95.26970979443766,83.74944377267232,"Logan Allen",27589,671106
"Kyle Nicolas","PIT",54.2,95.42070450097846,,,,120.97578431372553,115.8257819905213,,,,105.67726086956519,77.91047826086957,83.71863043478263,"Kyle Nicolas",27775,693312
"Darren McCaughan","- - -",42,82.43424460431655,81.94231111111111,,,100.68878228782286,,82.7906329113924,,,89.25628851540617,96.46749533146593,83.69768207282914,"Darren McCaughan",20038,670766
"Marco Gonzales","PIT",33.2,82.46651162790697,76.5368,84.14892307692308,,,82.42581818181819,83.6811510791367,,,82.63856880733942,99.42590825688075,80.71614678899084,"Marco Gonzales",15467,594835
"Ty Blach","COL",71.1,65.85437340153454,78.53478260869566,85.01045161290324,,70.58,79.45129032258063,73.13237410071943,,,73.83570394136314,108.28226860606603,80.06630597972509,"Ty Blach",14361,621389
"Dakota Hudson","COL",89,77.62568720379149,85.97049040511727,101.52,,86.73023529411765,96.58933852140079,82.92481751824818,,,86.62267515923571,90.0723425336164,80.05620665251237,"Dakota Hudson",19206,641712
"Triston McKenzie","CLE",75.2,86.93390922401171,,,,92.9312408759124,99.27965417867435,,,,91.48725308641978,82.31922839506173,76.70938271604939,"Triston McKenzie",18000,663474
"Nick Nastrini","CHW",35.2,98.14336336336336,,,,90.27909774436093,80.71746031746032,85.49305555555557,,,92.54704002756125,71.91740832231899,71.77779439242842,"Nick Nastrini",29833,680897
