Name,Team,IP,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Valente Bellozo","MIA",68.2,53.711961955990226,,58.549333068592055,,50.792294513274335,46.38770175182481,43.51809550632912,,40.7392586849315,32.54127077625571,52.46380322374429,0.7007466940639269,5.128211808219179,"Valente Bellozo",23899,678368
"Griffin Canning","LAA",171.2,38.489017293790546,29.11171892857143,,,47.7064000145138,51.11388246753248,61.176076588235304,,40.74429059888579,46.1871655466574,46.7384098850975,0.7004334993036213,5.127742106545961,"Griffin Canning",19867,656288
"Javier Assad","CHC",147,52.22905898009949,48.5347460859978,54.87948319926874,,31.12118450184501,46.24092346938776,36.11587940170941,,40.74655933806146,39.15742276201733,48.76888537037038,0.70029365642238,5.127533096926714,"Javier Assad",21741,665871
"Adam Mazur","SDP",33.2,47.477161703056765,29.203798260869565,,,50.004305989847715,65.10509756756757,23.123196333333333,,40.87652502564102,43.84070011965812,44.76286565811966,0.6922199658119658,5.115421743589744,"Adam Mazur",31900,800049
"Colin Poche","TBR",37.1,35.62052883783783,,,,55.84403462427745,,,,40.900474677716396,46.8709685451197,42.00784075506446,0.6907315837937386,5.113190626151012,"Colin Poche",19403,621363
"Michael Lorenzen","- - -",130.1,45.57553658450704,46.89906771493212,53.17063478468899,,47.88412060897437,47.892581829268295,50.66169936386769,,41.08106510272337,41.85120698518872,47.63613215957956,0.6795113139034878,5.096359307214526,"Michael Lorenzen",14843,547179
"Jalen Beeks","- - -",70,49.83793680163744,20,46.079306764698345,,56.60853,65.63565,30.803621948307185,,41.264550424070286,47.86903387298111,40.52164820235889,0.6681122599350101,5.079260687519557,"Jalen Beeks",17192,656222
"Marcus Stroman","NYY",154.2,27.381317869674188,38.36825694533763,51.06241812371134,46.354258095238094,38.53691481570081,42.970063607305924,,,41.59325456896553,38.165312290104936,39.484659827586206,0.6476916979010495,5.048631049475263,"Marcus Stroman",13431,573186
"Cal Quantrill","COL",148.1,,43.0351993502825,55.805625365168524,43.72109806146573,,53.338661867469895,61.913951702127655,,41.610321742911154,40.170915829867674,43.64719928922495,0.6466302646502836,5.04703834026465,"Cal Quantrill",19312,615698
"Wandy Peralta","SDP",38.1,44.678055849056605,40.23245508264462,,,50.471567903225804,,49.79342066666666,,41.7617556655844,48.6429635064935,42.91234222402599,0.637222191558442,5.032926152597403,"Wandy Peralta",14295,593974
"Huascar Brazobán","- - -",51.2,37.680730561224486,27.735165972850677,33.537815446428574,,,,47.82465468992247,,41.87416550387596,53.24217933554818,32.1153830786268,0.6302398338870433,5.022451738648948,"Huascar Brazoban",6107,623211
"Josh Fleming","PIT",31.1,80,29.617226567164177,53.52356919117647,,,36.813605757575765,51.852321437499995,,41.91761664794007,45.52335333333333,40.17963571161049,0.6275395131086143,5.018401367041198,"Josh Fleming",20418,676596
"Matt Moore","LAA",48.1,45.64222063380282,,,,,,45.09449746268656,44.151031199999984,41.93537742388757,51.500926615925074,40.21486827868853,0.6264360772833723,5.01674645199063,"Matt Moore",1890,519043
"James Paxton","- - -",100.1,52.18918652497343,77.94023989603282,53.88745884615385,,,,34.35385446428571,50.66977735009672,41.946835696721315,32.525742781030445,50.861904970725995,0.6257241042154568,5.015678307962529,"James Paxton",11828,572020
"Reese Olson","DET",112.1,40.972393410138245,51.594502902374686,,,51.34008743689321,36.368294375000005,42.58051411622276,,42.05012432884097,42.60188714824798,44.22632611320755,0.6193077088948786,5.006053757412398,"Reese Olson",24968,681857
"Joe Boyle","OAK",47.2,29.967366245614034,,,,46.005944444444445,20,,,42.20132175983437,64.14356709109731,32.75864501035196,0.609912225672878,4.991960507246376,"Joe Boyle",29608,671212
