Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Spencer Horwitz","TOR",0.30056497,0.6637931,0.46046806,0.7443609,0.88095238,0.83104396,0.4402277,0.59055118,0.07770057,0.17751105,0.25521162,"Spencer Horwitz",26477,687462
"Austin Martin","MIN",0.24224806,0.70813397,0.45074946,0.592,0.90202703,0.80997625,0.44753747,0.62256809,0.0856531,0.16916488,0.25481799,"Austin Martin",27462,668885
"Joey Meneses","WSN",0.36377025,0.71922246,0.50788091,0.63157895,0.9039039,0.78793103,0.40542907,0.61661342,0.10761155,0.14698163,0.25459318,"Joey Meneses",14366,608841
"Austin Wells","NYY",0.2977588,0.75035663,0.49145299,0.59498208,0.84030418,0.7552795,0.42796093,0.59661836,0.12026862,0.13431013,0.25457875,"Austin Wells",27562,669224
"Nolan Schanuel","LAA",0.25473071,0.6395112,0.41511036,0.78857143,0.91242038,0.86809816,0.41680815,0.62273476,0.05473059,0.19983029,0.25456088,"Nolan Schanuel",33189,694384
"Jonny DeLuca","TBR",0.3968059,0.74576271,0.53457249,0.6873065,0.86363636,0.78442281,0.39479554,0.67403315,0.11515602,0.13818722,0.25334324,"Jonny DeLuca",26365,676356
"Gustavo Campero","LAA",0.42574257,0.73684211,0.55932203,0.76744186,0.80357143,0.78787879,0.42937853,0.79166667,0.11797753,0.13483146,0.25280899,"Gustavo Campero",22707,672569
"Jake McCarthy","ARI",0.33400605,0.67421384,0.48544233,0.65861027,0.94216418,0.83391003,0.44512878,0.65454545,0.08053691,0.17225951,0.25279642,"Jake McCarthy",21622,664983
"Lourdes Gurriel Jr.","ARI",0.35376968,0.72488584,0.50984157,0.68149883,0.8992126,0.81167608,0.42054729,0.64195298,0.09592326,0.15683453,0.25275779,"Lourdes Gurriel Jr.",19238,666971
"Ryan Mountcastle","BAL",0.40523466,0.7790404,0.56105263,0.65256125,0.85737439,0.77110694,0.41684211,0.63905325,0.12815126,0.12447479,0.25262605,"Ryan Mountcastle",18373,663624
"Will Smith","LAD",0.2993921,0.68691099,0.46235139,0.71319797,0.88109756,0.81809524,0.42051959,0.60294118,0.08402992,0.16849978,0.2525297,"Will Smith",19197,669257
"Oswaldo Cabrera","NYY",0.33201581,0.68503937,0.47355959,0.68253968,0.92528736,0.82333333,0.40094712,0.58895706,0.08353034,0.16863672,0.25216706,"Oswaldo Cabrera",21707,665828
"Adael Amador","COL",0.50746269,0.73076923,0.60504202,0.67647059,0.89473684,0.79166667,0.43697479,0.72222222,0.12605042,0.12605042,0.25210084,"Adael Amador",27962,691182
"Vladimir Guerrero Jr.","TOR",0.30628803,0.7103139,0.47995374,0.66666667,0.87752525,0.80080321,0.42983809,0.61406026,0.09565886,0.15597388,0.25163273,"Vladimir Guerrero Jr.",19611,665489
"Luis García Jr.","WSN",0.38537906,0.69806452,0.51407329,0.70725995,0.89463956,0.81198347,0.41157727,0.65340909,0.09660297,0.15498938,0.25159236,"Luis Garcia Jr.",20391,671277
"Jesse Winker","- - -",0.2287234,0.67486631,0.43092584,0.66666667,0.87638669,0.81552306,0.45322346,0.61811024,0.07945736,0.17199612,0.25145349,"Jesse Winker",13590,608385
"Ben Rice","NYY",0.25,0.75,0.45994475,0.55238095,0.87280702,0.77177177,0.4198895,0.58426966,0.10482759,0.1462069,0.25103448,"Ben Rice",29576,700250
"Patrick Bailey","SFG",0.27862209,0.72625,0.47901511,0.58545455,0.88296041,0.78738318,0.44767767,0.61830357,0.10167598,0.14916201,0.25083799,"Patrick Bailey",27478,672275
