"last_name, first_name","player_id","year","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Pivetta, Nick","601713","2024",69,15.4,30,50.9,49.1,48,74.4,7.5,"2387",84.2,52,41.7,25.6,50.3
"Anderson, Justin","605121","2024",67.8,18,31.2,50,50,55.7,77,6.5,"945",82,44.3,41.3,29.7,47.4
"Barlow, Scott","605130","2024",64.5,19.4,27,57.4,41.4,58.6,69.8,5.2,"1022",80.2,41.4,40.1,33.6,42.6
"Bassitt, Chris","605135","2024",65.4,17,24.6,34.2,65.6,49.9,75.8,8,"2959",82.7,50.1,42.3,21.7,45
"Brebbia, John","605154","2024",68.7,20.1,32,36.4,63.6,51.9,81.5,6.5,"994",79.9,48.1,43,25.5,49.7
"Brewer, Colten","605155","2024",65,16.7,22.9,55.8,41.9,48.1,77.8,9.2,"391",82.6,51.9,36.3,26.3,44.8
"Brooks, Aaron","605156","2024",71.9,9.2,29,45,55,51.4,84,6.2,"403",89.4,48.6,43.9,19.9,49.9
"Chafin, Andrew","605177","2024",66.5,15.5,35.1,54.1,45.9,64.8,69.4,3.7,"967",83.6,35.2,40.2,34.5,46.1
"Clevinger, Mike","605182","2024",64.7,25.3,29.3,29.5,70.5,49.5,73.3,5,"303",74.7,50.5,43.9,26.6,47.2
"Holmes, Clay","605280","2024",62.6,20.2,27.6,52.3,47,50.5,72,6.9,"1085",79.8,49.5,42.5,30.2,44.9
"Houser, Adrian","605288","2024",66.1,11.7,22.3,38.2,61.8,48.8,76.2,7.4,"1131",88,51.2,47.9,18.2,44.7
"López, Jorge","605347","2024",59.9,15,24.6,45.2,53.8,47.1,75.8,8.2,"802",84.3,52.9,43.9,23.1,43.3
"Musgrove, Joe","605397","2024",66.2,19.8,27,50.7,49.3,48,73.6,8.2,"1582",80,52,40.1,28.3,47.4
"Nola, Aaron","605400","2024",66.7,15.9,32.1,42.6,57.2,52.4,74.3,6,"3189",83.3,47.6,45,25.2,48.6
"Ross, Joe","605452","2024",68.8,18.1,27.5,52.3,47.7,47,75.3,7.4,"1197",81.4,53,43.9,27.1,49.4
"Scott, Tayler","605463","2024",64.7,22.1,27.6,43.7,55.7,55.2,70.9,6.6,"1203",77.9,44.8,43.4,29.5,44.2
"Snell, Blake","605483","2024",65.3,24.2,31.6,58.6,41.1,57.2,62.1,5.4,"1773",74.5,42.8,43.4,37.7,46
"Springs, Jeffrey","605488","2024",70.7,19.5,31.3,48,52,56.5,75,5.7,"565",79.9,43.5,41.1,29.9,48.5
"Turnbull, Spencer","605513","2024",62.9,15.2,25.4,46.8,53.2,54.1,70.3,7,"916",84.8,45.9,41.3,25.4,42.6
"Gallegos, Giovanny","606149","2024",69.7,13.2,26.9,56.9,43.1,53.9,77.8,6.7,"401",86.8,46.1,39.2,26.7,46.6
"Montero, Rafael","606160","2024",70.1,12.4,26.8,28.3,71.7,57.8,81.8,4.8,"683",87.6,42.2,45.4,17.9,45.1
"Payamps, Joel","606303","2024",67,22.4,28.8,38.3,61.7,49.5,72.1,7.6,"899",77,50.5,41.6,27.1,48.1
"Barnes, Jacob","606930","2024",72.1,16.5,29.3,43.4,56.6,53.4,76.3,8.7,"1117",83.2,46.6,40,25.1,49.2
"Devenski, Chris","606965","2024",67.1,15.6,25.7,53.4,46.6,53.3,73.3,5.6,"533",84.4,46.7,40,27.1,45
"Rea, Colin","607067","2024",67.7,15.3,24.5,30.9,68.8,48.4,83.5,8,"2650",84.7,51.6,43.2,19.3,46.8
"Rodón, Carlos","607074","2024",70.7,20,30.7,50.5,49.5,53.3,82,7,"3102",79.7,46.7,41.4,30.1,49.4
"Weems, Jordan","607179","2024",71.6,14.6,25.6,37,63,49.1,82.1,9.1,"733",84.6,50.9,39.8,20.3,49
"Glasnow, Tyler","607192","2024",66.7,19.7,27.3,62.6,37.4,46.3,83.9,8.4,"2011",80.1,53.7,40.5,30.9,48.4
"Fedde, Erick","607200","2024",68.4,15.3,24.4,37.9,61.6,52,82,6.7,"2891",84.3,48,44.2,21.6,45.5
"Martinez, Nick","607259","2024",67.4,16.2,33.9,37.7,61.7,48.6,73.6,6.8,"2125",83.6,51.4,44.8,23.1,51.1
