Name,Team,IP,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Mike Baumann","- - -",58.1,59.70630429561201,80,,,38.307393543307086,,53.0976215,67.1237769467787,47.32483661668228,58.894207600749766,45.67195786316776,0.29160952202436735,4.51450656044986,"Mike Baumann",20206,657508
"José Leclerc","TEX",66.2,63.09527294117648,54.208055121951226,52.02806278409093,,43.964802263157885,,42.0158844537815,,47.32720623387792,53.9705911177988,45.39093216680999,0.2914622269991402,4.514285176268271,"Jose Leclerc",14524,600917
"Zebby Matthews","MIN",37.2,49.886131042345276,,44.94199301724138,,48.154817311827955,39.88037745098039,47.280248421052626,,47.333929553695945,47.29541196652719,52.231453263598326,0.2910440725244073,4.513658940027894,"Zebby Matthews",31827,805673
"Daniel Lynch IV","KCR",43.1,43.22676888888889,47.9330126984127,38.881973333333335,,46.402305999999996,43.58957,48.96453696296297,41.735195675675676,47.3652757052298,45.1531989540412,50.79650359746434,0.28909510301109353,4.51073438985737,"Daniel Lynch IV",21537,663738
"Zac Gallen","ARI",148,54.45412154443485,80,49.05699662337663,,40.26029311926605,,45.74554512820514,44.698491541786744,47.37012589948146,46.27623735141603,50.64157675309135,0.2887955803749502,4.510285907459115,"Zac Gallen",19291,668678
"Mitchell Parker","WSN",151,49.81699903253426,,,41.77161729257643,50.733015042372884,47.1759859594096,,,47.371370199667226,44.2551885690516,45.57640336106489,0.2887179284525791,4.510170016638935,"Mitchell Parker",27636,680730
"Dean Kremer","BAL",129.2,45.16446723741007,38.37850728658537,53.457313140000004,45.901419024999996,,39.6892460483871,,,47.375365992630115,42.92965015200369,52.05461321050206,0.28847034546292033,4.509797789037309,"Dean Kremer",19350,665152
"Justin Anderson","CHW",53.1,53.65558422077922,57.69306558823529,48.766162753623185,,61.547587511627896,,,,47.42514896296298,59.699833894179896,44.33363250793653,0.2853774074074074,4.505158656084657,"Justin Anderson",16201,605121
"Emerson Hancock","SEA",60.2,40.90029972809668,41.4373884768212,,,31.934739341317364,,49.90138714953272,,47.62249230541871,39.21346258128079,55.18718445320197,0.2731172610837438,4.4867696256157625,"Emerson Hancock",27470,676106
"Albert Suárez","BAL",133.2,45.988079820948975,,61.006344701834855,,,41.93279162162162,60.65297368831168,,47.63708856568366,47.79057794012512,50.18925332439677,0.27220948614834667,4.485406246648795,"Albert Suarez",6175,544150
