Name,Team,PA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Jake Rogers","DET",337,0.28835341,,0.08273092,0.01204819,,0.1935743,0.27710843,0.05542169,0.00562249,0.00080321,0.08433735,,,,"Jake Rogers",19452,668670
"Andruw Monasterio","MIL",142,0.36476043,,0.07418856,0.00927357,,0.17310665,0.19938176,0.0633694,0.01391036,0.00618238,0.0942813,0.0015456,,,"Andruw Monasterio",19455,655316
"Tommy Edman","LAD",153,0.30864198,,0.08641975,0.04761905,,0.11640212,0.1622575,0.08994709,0.00881834,,0.17989418,,,,"Tommy Edman",19470,669242
"Andrew Knizner","TEX",93,0.32777778,,0.04166667,0.01111111,,0.15833333,0.26111111,0.05,0.01666667,,0.13333333,,,,"Andrew Knizner",19514,668800
"TJ Friedl","CIN",341,0.344479,,0.1096423,0.03732504,,0.1562986,0.14230171,0.08786936,0.01710731,0.00155521,0.10342146,,,,"TJ Friedl",19522,670770
"Yordan Alvarez","HOU",635,0.3520318,,0.09717314,0.04328622,,0.12941696,0.19655477,0.0790636,0.02473498,,0.07773852,,,,"Yordan Alvarez",19556,670541
"Zack Short","- - -",88,0.4398977,,0.06393862,0.01023018,,0.20204604,0.18670077,0.03836317,0.01023018,,0.03580563,,0.01278772,,"Zack Short",19562,670097
"Nathaniel Lowe","TEX",565,0.39388795,,0.09337861,0.03310696,,0.15916808,0.15789474,0.06366723,0.01188455,,0.08701188,,,,"Nathaniel Lowe",19566,663993
"Chas McCormick","HOU",267,0.34356436,,0.07029703,0.02376238,,0.15445545,0.21683168,0.07425743,0.01881188,0.0009901,0.0950495,0.0019802,,,"Chas McCormick",19599,676801
"Bryan De La Cruz","- - -",622,0.28654971,,0.08604845,0.02965748,,0.15538847,0.29532164,0.05430242,0.01044277,,0.08061821,,0.00167084,,"Bryan De La Cruz",19600,650559
"Otto Lopez","MIA",434,0.27313916,,0.06731392,0.02718447,,0.20064725,0.26278317,0.06019417,0.01294498,,0.08932039,0.00064725,0.00582524,,"Otto Lopez",19608,672640
"Keibert Ruiz","WSN",485,0.25814234,,0.08624849,0.06212304,,0.1562123,0.18395657,0.10494572,0.01266586,,0.13208685,,0.00361882,,"Keibert Ruiz",19610,660688
"Vladimir Guerrero Jr.","TOR",697,0.3044316,,0.07591522,0.02312139,,0.2265896,0.22581888,0.03236994,0.00963391,,0.09980732,,0.00231214,,"Vladimir Guerrero Jr.",19611,665489
"Bo Bichette","TOR",336,0.29386712,,0.07666099,0.01788756,,0.21379898,0.28364566,0.0451448,0.01703578,,0.04855196,,0.00340716,,"Bo Bichette",19612,666182
"Brent Rooker","OAK",614,0.31539108,,0.06560135,0.03742641,,0.14213625,0.25063078,0.06602187,0.01219512,,0.11059714,,,,"Brent Rooker",19627,667670
"Edward Olivares","PIT",196,0.35026042,,0.08203125,0.03255208,,0.15885417,0.19010417,0.06901042,0.01822917,,0.09895833,,,,"Edward Olivares",19698,658668
"Fernando Tatis Jr.","SDP",438,0.29078014,,0.07285622,0.02063185,0.00322373,0.22566086,0.23146357,0.04771115,0.01805287,,0.0896196,,,,"Fernando Tatis Jr.",19709,665487
"Josh Rojas","SEA",476,0.32772225,,0.0999474,0.0284061,,0.13466597,0.18043135,0.07890584,0.0189374,,0.12993161,0.00105208,,,"Josh Rojas",19734,668942
"Shohei Ohtani","LAD",731,0.28964059,,0.09408034,0.04510218,,0.15257223,0.22022551,0.06272023,0.01973221,,0.11099366,,0.00493305,,"Shohei Ohtani",19755,660271
"Dairon Blanco","KCR",132,0.37391304,,0.05434783,0.04565217,,0.16086957,0.18695652,0.03913043,0.00434783,,0.13478261,,,,"Dairon Blanco",19779,680118
"Joshua Palacios","PIT",78,0.28338762,,0.13029316,0.01954397,,0.19869707,0.18892508,0.04560261,0.03583062,,0.09771987,,,,"Joshua Palacios",19818,641943
"Chuckie Robinson","CHW",76,0.29865772,,0.04362416,0.01677852,,0.25167785,0.27852349,0.03020134,0.0033557,,0.07718121,,,,"Chuckie Robinson",19824,642020
"Abraham Toro","OAK",364,0.36083214,,0.06814921,0.05093257,,0.11047346,0.14490674,0.08321377,0.0251076,0.00215208,0.15423242,,,,"Abraham Toro",19844,647351
"Luis Rengifo","LAA",304,0.29166667,,0.10925926,0.04166667,,0.10740741,0.21296296,0.06759259,0.01388889,,0.15185185,,0.0037037,,"Luis Rengifo",19858,650859
"Riley Adams","WSN",130,0.27495292,,0.0433145,0.00564972,,0.20338983,0.25988701,0.07156309,0.01129944,,0.12429379,,0.00564972,,"Riley Adams",19864,656180
"Emmanuel Rivera","- - -",302,0.28496959,,0.0807993,0.01998262,,0.20330148,0.24326672,0.07384883,0.00521286,0.00086881,0.08774978,,,,"Emmanuel Rivera",19890,656896
"Pavin Smith","ARI",158,0.27733756,,0.08399366,0.06339144,,0.12044374,0.24247227,0.07765452,0.01901743,0.00316957,0.09984152,0.00792393,0.00475436,,"Pavin Smith",19892,656976
"Connor Wong","BOS",487,0.32171582,,0.07828418,0.02252011,,0.16675603,0.230563,0.05630027,0.01608579,0.00428954,0.10348525,,,,"Connor Wong",19896,657136
"Gavin Sheets","CHW",501,0.29659799,,0.0896023,0.04408241,,0.12122664,0.20172496,0.10349784,0.0143747,,0.12889315,,,,"Gavin Sheets",19901,657757
"Jesús Sánchez","MIA",537,0.3606228,,0.06328478,0.04721246,,0.1185334,0.18483174,0.08789553,0.01858363,,0.11401306,,0.0050226,,"Jesus Sanchez",19913,660821
"Daulton Varsho","TOR",513,0.34656863,,0.12156863,0.03235294,,0.12303922,0.18480392,0.05294118,0.01372549,,0.12254902,,0.00245098,,"Daulton Varsho",19918,662139
"Blake Perkins","MIL",434,0.37600923,,0.08823529,0.02249135,0.0005767,0.15224913,0.14590542,0.0899654,0.02076125,,0.10380623,,,,"Blake Perkins",19921,663368
"Luke Williams","ATL",52,0.33139535,,0.04069767,,,0.23255814,0.23255814,0.0755814,0.01744186,,0.06976744,,,,"Luke Williams",19931,663897
"Cristian Pache","- - -",183,0.33967391,,0.05163043,0.01630435,0.00271739,0.18478261,0.18478261,0.08016304,0.0013587,,0.13722826,,0.0013587,,"Cristian Pache",19948,665506
"Andrés Giménez","CLE",633,0.31208333,,0.09791667,0.03166667,0.00041667,0.14708333,0.22833333,0.05708333,0.01666667,,0.1075,,0.00125,,"Andres Gimenez",19950,665926
"Josh Lowe","TBR",387,0.35227273,,0.08313397,0.04126794,,0.10645933,0.17464115,0.09509569,0.01674641,,0.12978469,,0.00059809,,"Josh Lowe",19953,666139
"Gavin Lux","LAD",487,0.31923672,,0.09747292,0.04589995,,0.14285714,0.16400206,0.07684373,0.01805054,0.00154719,0.12841671,,0.00567303,,"Gavin Lux",19955,666158
"Mickey Moniak","LAA",418,0.33159609,,0.08925081,0.05928339,,0.06384365,0.20325733,0.09576547,0.02019544,,0.13485342,,0.0019544,,"Mickey Moniak",19956,666160
"Eguy Rosario","SDP",57,0.27876106,,0.0619469,,0.02212389,0.18141593,0.23893805,0.0840708,0.01769912,,0.11504425,,,,"Eguy Rosario",19964,666703
"Bobby Dalbec","BOS",93,0.3535109,,0.02905569,0.01937046,,0.11138015,0.23970944,0.08232446,0.00484262,0.01452785,0.14527845,,,,"Bobby Dalbec",19966,666915
"Santiago Espinal","CIN",391,0.3231383,,0.07446809,0.01662234,,0.17154255,0.24069149,0.07513298,0.02260638,0.00199468,0.0724734,,0.00132979,,"Santiago Espinal",19997,669289
"Bryce Johnson","SDP",73,0.40304183,,0.06463878,0.03802281,,0.09125475,0.16730038,0.07224335,0.02281369,0.00380228,0.13307985,0.00380228,,,"Bryce Johnson",20002,669369
"Miles Mastrobuoni","CHC",106,0.42519685,,0.09448819,0.01049869,,0.1496063,0.167979,0.07086614,0.02362205,0.00524934,0.05249344,,,,"Miles Mastrobuoni",20017,670156
"Isaac Paredes","- - -",641,0.28040659,,0.07886435,0.02663863,,0.17735717,0.2681388,0.07500876,0.01752541,0.00035051,0.07570978,,,,"Isaac Paredes",20036,670623
"Luis Robert Jr.","CHW",425,0.28962088,,0.06525792,0.04723431,,0.16718459,0.26351771,0.04909882,0.01802362,,0.10006215,,,,"Luis Robert Jr.",20043,673357
"Bligh Madris","DET",75,0.31272727,,0.03636364,0.08363636,,0.11272727,0.19636364,0.06181818,0.01818182,,0.17818182,,,,"Bligh Madris",20054,676632
"Alan Trejo","COL",67,0.30316742,,0.02714932,,,0.20361991,0.25339367,0.08597285,0.02714932,,0.09954751,,,,"Alan Trejo",20056,676701
"Juan Soto","NYY",713,0.23807913,,0.1061887,0.04666892,,0.16334122,0.21406831,0.07507609,0.01623267,,0.14034494,,,,"Juan Soto",20123,665742
"Dylan Carlson","- - -",265,0.35945946,,0.0963964,0.02522523,0.0036036,0.12252252,0.16036036,0.07117117,0.01171171,,0.14954955,,,,"Dylan Carlson",20126,666185
"Miguel Vargas","- - -",237,0.35877106,,0.08721506,0.01090188,,0.18235877,0.22695738,0.04658077,0.01783944,0.00198216,0.06739346,,,,"Miguel Vargas",20178,678246
"Brandon Marsh","PHI",476,0.35226707,,0.0737419,0.03886398,0.00199302,0.13403089,0.1963129,0.11210762,0.01096163,,0.07324365,0.00249128,0.00398605,,"Brandon Marsh",20202,669016
"Jo Adell","LAA",451,0.34184783,,0.05597826,0.0298913,,0.175,0.26793478,0.04728261,0.01195652,,0.06793478,,0.00217391,,"Jo Adell",20220,666176
"Ben Rortvedt","TBR",328,0.36477524,,0.08327192,0.0523213,,0.11643331,0.14664702,0.09285188,0.01915991,,0.12453943,,,,"Ben Rortvedt",20287,666163
"Jake Meyers","HOU",513,0.28453495,,0.07374794,0.02311502,,0.1640066,0.28288387,0.05668685,0.00825537,0.0038525,0.1029169,,,,"Jake Meyers",20308,676694
"Corey Julks","CHW",189,0.30378096,,0.06127771,0.01694915,,0.16818774,0.24511082,0.05736636,0.01434159,,0.13298566,,,,"Corey Julks",20311,667452
"Stuart Fairchild","CIN",233,0.2919109,,0.07971864,0.02461899,,0.15592028,0.23681125,0.06565064,0.01992966,,0.12543962,,,,"Stuart Fairchild",20321,656413
"Alex Kirilloff","MIN",178,0.30132939,,0.10044313,0.03988183,,0.09896603,0.22156573,0.08124077,0.0310192,,0.12555391,,,,"Alex Kirilloff",20325,666135
