Name,Team,IP,botOvr FA,botOvr SI,botOvr FC,botOvr FS,botOvr SL,botOvr CU,botOvr CH,botOvr KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Craig Kimbrel","BAL",52.1,56.49287525316457,,,,62.01949400000001,,20,50.11445611510792,52.869241055900645,60.41984944099378,46.43663513457556,-0.052844296066252586,3.997825455486541,"Craig Kimbrel",6655,518886
"Camilo Doval","SFG",59,,40.48379974358974,44.367555952380954,,56.206111472172346,,,,52.94638363719234,61.035360957155866,42.033194649042855,-0.05763652689152236,3.9906374567000915,"Camilo Doval",21992,666808
"Burch Smith","- - -",56.1,52.60196933035714,20,60.31089437500001,,65.83892662162162,42.668610365853674,47.28219,,52.966970279017865,49.218563080357136,54.33082899553572,-0.05891508928571433,3.988719743303571,"Burch Smith",12784,572143
"Jhoan Duran","MIN",54.1,54.223241977715865,,,63.99371805054151,,48.56096583673471,,,53.01858725934315,51.73580011325027,49.81334147225368,-0.06212263873159682,3.983908448471122,"Jhoan Duran",21029,661395
"Casey Mize","DET",102.1,56.79245441389291,63.644593263888886,,51.11586583333334,51.21996177419355,,,38.93046425373134,53.029020536312835,50.197411251396645,55.8722625027933,-0.06277152513966476,3.9829350837988833,"Casey Mize",20492,663554
"Jake Irvin","WSN",187.2,47.744006530789235,59.72521572115384,50.03030452261306,,60.459987142857145,59.23618670514166,41.1839432038835,,53.06272217005909,45.205890554826006,56.85345387393301,-0.06486519041365725,3.979794898227183,"Jake Irvin",21504,663623
"Keaton Winn","SFG",55.1,45.24618269058296,52.532441963190195,,60.88550650145772,48.673896101694915,,,,53.06381074116305,53.882204013683,47.02318419612314,-0.06493116305587233,3.979695530216648,"Keaton Winn",23499,676775
"Zack Littell","TBR",156.1,47.825298287795995,45.57271502717392,,67.91281473958334,48.882185534274186,,,,53.08410470659164,41.48992374598071,59.37940504421222,-0.06619281350482313,3.9778033078778137,"Zack Littell",15823,641793
"Joe Musgrove","SDP",99.2,49.60756400000001,60.52443640625001,63.290662966666666,,56.14938226537218,47.811883188405794,49.83681658333333,,53.135225603448276,50.34441210875332,54.46842353448276,-0.06936757294429709,3.973041883289124,"Joe Musgrove",12970,605397
"Carson Spiers","CIN",90.2,44.44849793548387,61.8500912867647,57.602234193548384,,58.20602889763779,,41.67603819148936,,53.15049854568854,45.03076833333333,58.324663590733586,-0.07031776061776063,3.9716160617760616,"Carson Spiers",27685,686730
"JP Sears","OAK",180.2,49.92280071290945,56.25575490066225,,,60.23175648397104,,46.21577092896175,,53.160657253324004,49.0770583659902,55.20470490202939,-0.07094915675297411,3.9706687123862845,"JP Sears",23429,676664
"Lucas Sims","- - -",49.1,40.226565962021084,,38.72284385588005,20,65.36851416225751,52.279516258503406,,,53.23337279931221,58.67701377597642,38.8253234291329,-0.0754665993613362,3.963892803733726,"Lucas Sims",13470,608371
"Trevor Richards","- - -",65.1,42.84046487860739,,,80,,,65.46656264779418,,53.31934122336236,64.53472935908152,45.39137029427087,-0.08080740165731803,3.9558807856107325,"Trevor Richards",19309,670950
"Walker Buehler","LAD",75.1,54.42653389189188,49.33593715,58.54995944444445,,51.35406547008546,,45.60888439393939,50.28868606060607,53.32049533492823,47.255232089314184,51.83232551036683,-0.08087911483253596,3.955773301435407,"Walker Buehler",19374,621111
"Luis Castillo","SEA",175.1,50.10011876213592,56.294782671905686,,,56.35899295751633,,52.2444623076923,,53.42904648208469,49.06357194353963,58.00038140427071,-0.08762306550850525,3.9456576293883465,"Luis Castillo",15689,622491
"Garrett Cleavinger","TBR",60,49.09892657370517,50.92616945652174,54.996920557620825,,51.18863222760289,,,,53.46689417635656,59.583139563953495,41.41156750000002,-0.08997424418604652,3.942130881782946,"Garrett Cleavinger",17897,664076
"Ranger Suárez","PHI",150.2,46.77499022371366,59.69687927170868,48.95295181159421,,43.040675,59.241290903083694,48.01060588709677,,53.46700711827008,41.855683036187116,57.23254039717565,-0.08998016328331862,3.9421221800529573,"Ranger Suarez",17277,624133
"Tanner Banks","- - -",72.1,54.97700162087912,46.87752818181818,,,48.29130231770833,68.83149834285715,51.75432377483444,,53.55016293867119,47.4582152044293,54.45403448040886,-0.09514662691652466,3.9343719676320275,"Tanner Banks",16990,621383
"Christian Scott","NYM",47.1,58.7539778125,,,41.335171341463415,47.56346519031142,,,,53.61259642131979,56.72054629441624,49.17524077411167,-0.09902734771573601,3.9285523350253806,"Christian Scott",30107,681035
"Clarke Schmidt","NYY",85.1,,34.91153206557377,56.24998500982319,,52.25311265027322,,53.79714111111111,63.68730430188678,53.64860682692308,57.789471675824174,43.27114253434065,-0.10126384615384613,3.9251982829670333,"Clarke Schmidt",19899,657376
"Tyler Holton","DET",94.1,45.893452058823534,55.69170072664359,60.077315737704936,,48.673914492753624,51.6654645,49.609946166007916,,53.67405465671642,49.94878169402985,55.307136373134334,-0.10284452985074628,3.9228255447761193,"Tyler Holton",26231,663947
"Randy Rodríguez","SFG",52.1,55.51839562499999,34.09525750000001,,,55.81378297142857,,35.54444755102041,,53.73031894197951,56.63782055745165,42.76119697383388,-0.10634000000000005,3.917582514220705,"Randy Rodriguez",23974,678495
"Hunter Stratton","PIT",37.2,50.157845024390234,71.07536285714286,54.82253129807691,,50.98848763358779,,,,53.74029933092223,55.81582748643761,47.46841488245931,-0.10695905967450271,3.916653761301989,"Hunter Stratton",23455,676702
"Tylor Megill","NYM",78,57.2531203448276,73.92591388059701,56.71133715053763,44.2482013,43.45176283333333,26.221033271028038,53.0789485,,53.74669811997074,53.023328902706645,42.70379168983175,-0.10735647403072422,3.916057893196781,"Tylor Megill",21318,656731
"Seranthony Domínguez","- - -",58.2,51.08024507479573,62.72913861344537,,,49.271832693061256,,30.958381833333334,,53.76495041396037,65.13354734605,47.205892280495846,-0.10849144810382766,3.914355803416992,"Seranthony Dominguez",19249,622554
"Joe Mantiply","ARI",59.2,35.916744458646626,66.58775227027024,,,,45.079079695652176,48.649573842794766,,53.8214124050633,47.12436939010357,58.02025088607593,-0.1119984695051783,3.9090947986191016,"Joe Mantiply",14857,573009
